timestamp_utc,player,status,vocation,level
2026-06-12 16:56:54,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 16:56:54,Chamanada,offline,Elite Knight,634
2026-06-12 16:56:54,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 16:56:54,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 16:56:54,Tebelor,offline,Elder Druid,578
2026-06-12 16:56:54,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 16:56:54,Championsin,offline,Knight,475
2026-06-12 16:56:54,Druid Palmitox,offline,Elder Druid,104
2026-06-12 16:56:54,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 16:56:54,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 16:56:54,Niestouro,offline,Exalted Monk,200
2026-06-12 16:56:54,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 16:56:54,Show danzen,offline,Master Sorcerer,131
2026-06-12 16:56:54,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 16:56:54,Errepezin,offline,Royal Paladin,626
2026-06-12 16:56:54,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 16:56:54,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 16:56:54,Nothing Beats,offline,Knight,8
2026-06-12 16:56:54,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 16:56:54,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 16:56:54,Tygrom,offline,Master Sorcerer,162
2026-06-12 16:56:54,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 16:56:54,Wanderlivison,offline,Elder Druid,130
2026-06-12 18:49:48,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 18:49:48,Chamanada,offline,Elite Knight,634
2026-06-12 18:49:48,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 18:49:48,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 18:49:48,Tebelor,offline,Elder Druid,578
2026-06-12 18:49:48,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 18:49:48,Championsin,offline,Knight,475
2026-06-12 18:49:48,Druid Palmitox,offline,Elder Druid,104
2026-06-12 18:49:48,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 18:49:48,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 18:49:48,Niestouro,offline,Exalted Monk,200
2026-06-12 18:49:48,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 18:49:48,Show danzen,offline,Master Sorcerer,131
2026-06-12 18:49:48,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 18:49:48,Errepezin,offline,Royal Paladin,626
2026-06-12 18:49:48,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 18:49:48,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 18:49:48,Nothing Beats,offline,Knight,8
2026-06-12 18:49:48,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 18:49:48,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 18:49:48,Tygrom,offline,Master Sorcerer,162
2026-06-12 18:49:48,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 18:49:48,Wanderlivison,offline,Elder Druid,130
2026-06-12 19:06:16,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 19:06:16,Chamanada,offline,Elite Knight,634
2026-06-12 19:06:16,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 19:06:16,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 19:06:16,Tebelor,offline,Elder Druid,578
2026-06-12 19:06:16,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 19:06:16,Championsin,offline,Knight,475
2026-06-12 19:06:16,Druid Palmitox,offline,Elder Druid,104
2026-06-12 19:06:16,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 19:06:16,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 19:06:16,Niestouro,offline,Exalted Monk,200
2026-06-12 19:06:16,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 19:06:16,Show danzen,offline,Master Sorcerer,131
2026-06-12 19:06:16,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 19:06:16,Errepezin,offline,Royal Paladin,626
2026-06-12 19:06:16,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 19:06:16,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 19:06:16,Nothing Beats,offline,Knight,8
2026-06-12 19:06:16,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 19:06:16,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 19:06:16,Tygrom,offline,Master Sorcerer,162
2026-06-12 19:06:16,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 19:06:16,Wanderlivison,offline,Elder Druid,130
2026-06-12 20:33:52,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 20:33:52,Chamanada,offline,Elite Knight,634
2026-06-12 20:33:52,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 20:33:52,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 20:33:52,Tebelor,offline,Elder Druid,578
2026-06-12 20:33:52,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 20:33:52,Championsin,offline,Knight,475
2026-06-12 20:33:52,Druid Palmitox,offline,Elder Druid,104
2026-06-12 20:33:52,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 20:33:52,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 20:33:52,Niestouro,offline,Exalted Monk,200
2026-06-12 20:33:52,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 20:33:52,Show danzen,offline,Master Sorcerer,131
2026-06-12 20:33:52,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 20:33:52,Errepezin,offline,Royal Paladin,626
2026-06-12 20:33:52,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 20:33:52,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 20:33:52,Nothing Beats,offline,Knight,8
2026-06-12 20:33:52,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 20:33:52,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 20:33:52,Tygrom,offline,Master Sorcerer,162
2026-06-12 20:33:52,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 20:33:52,Wanderlivison,offline,Elder Druid,130
2026-06-12 20:36:02,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 20:36:02,Chamanada,offline,Elite Knight,634
2026-06-12 20:36:02,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 20:36:02,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 20:36:02,Tebelor,offline,Elder Druid,578
2026-06-12 20:36:02,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 20:36:02,Championsin,offline,Knight,475
2026-06-12 20:36:02,Druid Palmitox,offline,Elder Druid,104
2026-06-12 20:36:02,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 20:36:02,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 20:36:02,Niestouro,offline,Exalted Monk,200
2026-06-12 20:36:02,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 20:36:02,Show danzen,offline,Master Sorcerer,131
2026-06-12 20:36:02,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 20:36:02,Errepezin,offline,Royal Paladin,626
2026-06-12 20:36:02,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 20:36:02,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 20:36:02,Nothing Beats,offline,Knight,8
2026-06-12 20:36:02,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 20:36:02,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 20:36:02,Tygrom,offline,Master Sorcerer,162
2026-06-12 20:36:02,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 20:36:02,Wanderlivison,offline,Elder Druid,130
2026-06-12 21:05:28,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 21:05:28,Chamanada,offline,Elite Knight,634
2026-06-12 21:05:28,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 21:05:28,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 21:05:28,Tebelor,offline,Elder Druid,578
2026-06-12 21:05:28,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 21:05:28,Championsin,offline,Knight,475
2026-06-12 21:05:28,Druid Palmitox,offline,Elder Druid,104
2026-06-12 21:05:28,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 21:05:28,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 21:05:28,Niestouro,offline,Exalted Monk,200
2026-06-12 21:05:28,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 21:05:28,Show danzen,offline,Master Sorcerer,131
2026-06-12 21:05:28,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 21:05:28,Errepezin,offline,Royal Paladin,626
2026-06-12 21:05:28,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 21:05:28,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 21:05:28,Nothing Beats,offline,Knight,8
2026-06-12 21:05:28,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 21:05:28,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 21:05:28,Tygrom,offline,Master Sorcerer,162
2026-06-12 21:05:28,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 21:05:28,Wanderlivison,offline,Elder Druid,130
2026-06-12 22:47:19,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-12 22:47:19,Chamanada,offline,Elite Knight,634
2026-06-12 22:47:19,Jinn Sinner,offline,Royal Paladin,400
2026-06-12 22:47:19,Sweetz Historinha,offline,Elder Druid,352
2026-06-12 22:47:19,Tebelor,offline,Elder Druid,578
2026-06-12 22:47:19,Bencke Millgrau,offline,Elite Knight,346
2026-06-12 22:47:19,Championsin,offline,Knight,475
2026-06-12 22:47:19,Druid Palmitox,offline,Elder Druid,104
2026-06-12 22:47:19,Guerreiro Penta,offline,Royal Paladin,496
2026-06-12 22:47:19,Niestaull Discolado,offline,Royal Paladin,337
2026-06-12 22:47:19,Niestouro,offline,Exalted Monk,200
2026-06-12 22:47:19,Nyxor Monk,offline,Exalted Monk,100
2026-06-12 22:47:19,Show danzen,offline,Master Sorcerer,131
2026-06-12 22:47:19,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-12 22:47:19,Errepezin,offline,Royal Paladin,626
2026-06-12 22:47:19,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-12 22:47:19,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-12 22:47:19,Nothing Beats,offline,Knight,8
2026-06-12 22:47:19,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-12 22:47:19,Sniper Gusa,offline,Royal Paladin,336
2026-06-12 22:47:19,Tygrom,offline,Master Sorcerer,162
2026-06-12 22:47:19,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-12 22:47:19,Wanderlivison,offline,Elder Druid,130
2026-06-13 00:18:22,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 00:18:22,Chamanada,offline,Elite Knight,634
2026-06-13 00:18:22,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 00:18:22,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 00:18:22,Tebelor,offline,Elder Druid,578
2026-06-13 00:18:22,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 00:18:22,Championsin,offline,Knight,475
2026-06-13 00:18:22,Druid Palmitox,offline,Elder Druid,104
2026-06-13 00:18:22,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 00:18:22,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 00:18:22,Niestouro,offline,Exalted Monk,200
2026-06-13 00:18:22,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 00:18:22,Show danzen,offline,Master Sorcerer,131
2026-06-13 00:18:22,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 00:18:22,Errepezin,offline,Royal Paladin,626
2026-06-13 00:18:22,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 00:18:22,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 00:18:22,Nothing Beats,offline,Knight,8
2026-06-13 00:18:22,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 00:18:22,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 00:18:22,Tygrom,offline,Master Sorcerer,162
2026-06-13 00:18:22,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 00:18:22,Wanderlivison,offline,Elder Druid,130
2026-06-13 01:30:00,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 01:30:00,Chamanada,offline,Elite Knight,634
2026-06-13 01:30:00,Jinn Sinner,online,Royal Paladin,400
2026-06-13 01:30:00,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 01:30:00,Tebelor,offline,Elder Druid,578
2026-06-13 01:30:00,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 01:30:00,Championsin,offline,Knight,475
2026-06-13 01:30:00,Druid Palmitox,offline,Elder Druid,104
2026-06-13 01:30:00,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 01:30:00,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 01:30:00,Niestouro,offline,Exalted Monk,200
2026-06-13 01:30:00,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 01:30:00,Show danzen,offline,Master Sorcerer,131
2026-06-13 01:30:00,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 01:30:00,Errepezin,offline,Royal Paladin,626
2026-06-13 01:30:00,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 01:30:00,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 01:30:00,Nothing Beats,offline,Knight,8
2026-06-13 01:30:00,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 01:30:00,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 01:30:00,Tygrom,offline,Master Sorcerer,162
2026-06-13 01:30:00,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 01:30:00,Wanderlivison,offline,Elder Druid,130
2026-06-13 01:55:19,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 01:55:19,Chamanada,offline,Elite Knight,634
2026-06-13 01:55:19,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 01:55:19,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 01:55:19,Tebelor,offline,Elder Druid,578
2026-06-13 01:55:19,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 01:55:19,Championsin,offline,Knight,475
2026-06-13 01:55:19,Druid Palmitox,offline,Elder Druid,104
2026-06-13 01:55:19,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 01:55:19,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 01:55:19,Niestouro,offline,Exalted Monk,200
2026-06-13 01:55:19,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 01:55:19,Show danzen,offline,Master Sorcerer,131
2026-06-13 01:55:19,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 01:55:19,Errepezin,offline,Royal Paladin,626
2026-06-13 01:55:19,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 01:55:19,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 01:55:19,Nothing Beats,offline,Knight,8
2026-06-13 01:55:19,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 01:55:19,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 01:55:19,Tygrom,offline,Master Sorcerer,162
2026-06-13 01:55:19,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 01:55:19,Wanderlivison,offline,Elder Druid,130
2026-06-13 01:56:13,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 01:56:13,Chamanada,offline,Elite Knight,634
2026-06-13 01:56:13,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 01:56:13,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 01:56:13,Tebelor,offline,Elder Druid,578
2026-06-13 01:56:13,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 01:56:13,Championsin,offline,Knight,475
2026-06-13 01:56:13,Druid Palmitox,offline,Elder Druid,104
2026-06-13 01:56:13,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 01:56:13,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 01:56:13,Niestouro,offline,Exalted Monk,200
2026-06-13 01:56:13,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 01:56:13,Show danzen,offline,Master Sorcerer,131
2026-06-13 01:56:13,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 01:56:13,Errepezin,offline,Royal Paladin,626
2026-06-13 01:56:13,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 01:56:13,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 01:56:13,Nothing Beats,offline,Knight,8
2026-06-13 01:56:13,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 01:56:13,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 01:56:13,Tygrom,offline,Master Sorcerer,162
2026-06-13 01:56:13,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 01:56:13,Wanderlivison,offline,Elder Druid,130
2026-06-13 01:57:12,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 01:57:12,Chamanada,offline,Elite Knight,634
2026-06-13 01:57:12,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 01:57:12,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 01:57:12,Tebelor,offline,Elder Druid,578
2026-06-13 01:57:12,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 01:57:12,Championsin,offline,Knight,475
2026-06-13 01:57:12,Druid Palmitox,offline,Elder Druid,104
2026-06-13 01:57:12,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 01:57:12,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 01:57:12,Niestouro,offline,Exalted Monk,200
2026-06-13 01:57:12,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 01:57:12,Show danzen,offline,Master Sorcerer,131
2026-06-13 01:57:12,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 01:57:12,Errepezin,offline,Royal Paladin,626
2026-06-13 01:57:12,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 01:57:12,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 01:57:12,Nothing Beats,offline,Knight,8
2026-06-13 01:57:12,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 01:57:12,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 01:57:12,Tygrom,offline,Master Sorcerer,162
2026-06-13 01:57:12,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 01:57:12,Wanderlivison,offline,Elder Druid,130
2026-06-13 01:58:11,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 01:58:11,Chamanada,offline,Elite Knight,634
2026-06-13 01:58:11,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 01:58:11,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 01:58:11,Tebelor,offline,Elder Druid,578
2026-06-13 01:58:11,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 01:58:11,Championsin,offline,Knight,475
2026-06-13 01:58:11,Druid Palmitox,offline,Elder Druid,104
2026-06-13 01:58:11,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 01:58:11,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 01:58:11,Niestouro,offline,Exalted Monk,200
2026-06-13 01:58:11,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 01:58:11,Show danzen,offline,Master Sorcerer,131
2026-06-13 01:58:11,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 01:58:11,Errepezin,offline,Royal Paladin,626
2026-06-13 01:58:11,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 01:58:11,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 01:58:11,Nothing Beats,offline,Knight,8
2026-06-13 01:58:11,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 01:58:11,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 01:58:11,Tygrom,offline,Master Sorcerer,162
2026-06-13 01:58:11,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 01:58:11,Wanderlivison,offline,Elder Druid,130
2026-06-13 01:59:12,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 01:59:12,Chamanada,offline,Elite Knight,634
2026-06-13 01:59:12,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 01:59:12,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 01:59:12,Tebelor,offline,Elder Druid,578
2026-06-13 01:59:12,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 01:59:12,Championsin,offline,Knight,475
2026-06-13 01:59:12,Druid Palmitox,offline,Elder Druid,104
2026-06-13 01:59:12,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 01:59:12,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 01:59:12,Niestouro,offline,Exalted Monk,200
2026-06-13 01:59:12,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 01:59:12,Show danzen,offline,Master Sorcerer,131
2026-06-13 01:59:12,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 01:59:12,Errepezin,offline,Royal Paladin,626
2026-06-13 01:59:12,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 01:59:12,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 01:59:12,Nothing Beats,offline,Knight,8
2026-06-13 01:59:12,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 01:59:12,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 01:59:12,Tygrom,offline,Master Sorcerer,162
2026-06-13 01:59:12,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 01:59:12,Wanderlivison,offline,Elder Druid,130
2026-06-13 02:00:20,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 02:00:20,Chamanada,offline,Elite Knight,634
2026-06-13 02:00:20,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 02:00:20,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 02:00:20,Tebelor,offline,Elder Druid,578
2026-06-13 02:00:20,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 02:00:20,Championsin,offline,Knight,475
2026-06-13 02:00:20,Druid Palmitox,offline,Elder Druid,104
2026-06-13 02:00:20,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 02:00:20,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 02:00:20,Niestouro,offline,Exalted Monk,200
2026-06-13 02:00:20,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 02:00:20,Show danzen,offline,Master Sorcerer,131
2026-06-13 02:00:20,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 02:00:20,Errepezin,offline,Royal Paladin,626
2026-06-13 02:00:20,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 02:00:20,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 02:00:20,Nothing Beats,offline,Knight,8
2026-06-13 02:00:20,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 02:00:20,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 02:00:20,Tygrom,offline,Master Sorcerer,162
2026-06-13 02:00:20,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 02:00:20,Wanderlivison,offline,Elder Druid,130
2026-06-13 02:01:18,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 02:01:18,Chamanada,offline,Elite Knight,634
2026-06-13 02:01:18,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 02:01:18,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 02:01:18,Tebelor,offline,Elder Druid,578
2026-06-13 02:01:18,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 02:01:18,Championsin,offline,Knight,475
2026-06-13 02:01:18,Druid Palmitox,offline,Elder Druid,104
2026-06-13 02:01:18,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 02:01:18,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 02:01:18,Niestouro,offline,Exalted Monk,200
2026-06-13 02:01:18,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 02:01:18,Show danzen,offline,Master Sorcerer,131
2026-06-13 02:01:18,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 02:01:18,Errepezin,offline,Royal Paladin,626
2026-06-13 02:01:18,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 02:01:18,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 02:01:18,Nothing Beats,offline,Knight,8
2026-06-13 02:01:18,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 02:01:18,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 02:01:18,Tygrom,offline,Master Sorcerer,162
2026-06-13 02:01:18,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 02:01:18,Wanderlivison,offline,Elder Druid,130
2026-06-13 02:02:11,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 02:02:11,Chamanada,offline,Elite Knight,634
2026-06-13 02:02:11,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 02:02:11,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 02:02:11,Tebelor,offline,Elder Druid,578
2026-06-13 02:02:11,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 02:02:11,Championsin,offline,Knight,475
2026-06-13 02:02:11,Druid Palmitox,offline,Elder Druid,104
2026-06-13 02:02:11,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 02:02:11,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 02:02:11,Niestouro,offline,Exalted Monk,200
2026-06-13 02:02:11,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 02:02:11,Show danzen,offline,Master Sorcerer,131
2026-06-13 02:02:11,Triglicerides Baixo,offline,Master Sorcerer,61
2026-06-13 02:02:11,Errepezin,offline,Royal Paladin,626
2026-06-13 02:02:11,Kiing Zebaah,offline,Master Sorcerer,302
2026-06-13 02:02:11,Nada Ver Tio,offline,Master Sorcerer,55
2026-06-13 02:02:11,Nothing Beats,offline,Knight,8
2026-06-13 02:02:11,Ricardo Vulgo Reginaldo,offline,Sorcerer,7
2026-06-13 02:02:11,Sniper Gusa,offline,Royal Paladin,336
2026-06-13 02:02:11,Tygrom,offline,Master Sorcerer,162
2026-06-13 02:02:11,Ursinho Blaw Blau,offline,Master Sorcerer,156
2026-06-13 02:02:11,Wanderlivison,offline,Elder Druid,130
2026-06-13 02:03:17,Wizard Dmarola,offline,Master Sorcerer,630
2026-06-13 02:03:17,Chamanada,offline,Elite Knight,634
2026-06-13 02:03:17,Jinn Sinner,offline,Royal Paladin,400
2026-06-13 02:03:17,Sweetz Historinha,offline,Elder Druid,352
2026-06-13 02:03:17,Tebelor,offline,Elder Druid,578
2026-06-13 02:03:17,Bencke Millgrau,offline,Elite Knight,346
2026-06-13 02:03:17,Championsin,offline,Knight,475
2026-06-13 02:03:17,Druid Palmitox,offline,Elder Druid,104
2026-06-13 02:03:17,Guerreiro Penta,offline,Royal Paladin,496
2026-06-13 02:03:17,Niestaull Discolado,offline,Royal Paladin,337
2026-06-13 02:03:17,Niestouro,offline,Exalted Monk,200
2026-06-13 02:03:17,Nyxor Monk,offline,Exalted Monk,100
2026-06-13 02:03:17,Show danzen,offline,Master Sorcerer,131
2026-06-13 02:03:17,Triglicerides Baixo,offline,Master Sorcerer,61
